Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Karyotype band	Gene name
1	65419	71585	p36.33	OR4F5
1	450703	451697	p36.33	OR4F29
1	685679	686673	p36.33	OR4F16
1	923928	944581	p36.33	SAMD11
1	944204	959309	p36.33	NOC2L
1	960587	965715	p36.33	KLHL17
1	966497	975865	p36.33	PLEKHN1
1	975204	982093	p36.33	PERM1
1	998962	1000172	p36.33	HES4
1	1001138	1014541	p36.33	ISG15
1	1020123	1056118	p36.33	AGRN
1	1070966	1074307	p36.33	RNF223
1	1081818	1116361	p36.33	C1orf159
1	1173884	1197935	p36.33	TTLL10
1	1203508	1206691	p36.33	TNFRSF18
1	1211326	1214138	p36.33	TNFRSF4
1	1216908	1232031	p36.33	SDF4
1	1232265	1235041	p36.33	B3GALT6
1	1242446	1246722	p36.33	C1QTNF12
1	1253909	1273885	p36.33	UBE2J2
1	1280436	1292029	p36.33	SCNN1D
1	1292376	1309609	p36.33	ACAP3
1	1308567	1311677	p36.33	PUSL1
1	1311585	1324691	p36.33	INTS11
1	1324756	1328897	p36.33	CPTP
1	1331314	1335306	p36.33	TAS1R3
1	1335276	1349350	p36.33	DVL1
1	1352689	1361777	p36.33	MXRA8
1	1373730	1375495	p36.33	AURKAIP1
1	1385711	1399328	p36.33	CCNL2
1	1401908	1407313	p36.33	MRPL20
1	1418420	1421769	p36.33	ANKRD65
1	1426128	1427787	p36.33	TMEM88B
1	1434861	1442882	p36.33	VWA1
1	1449689	1470158	p36.33	ATAD3C
1	1471769	1497848	p36.33	ATAD3B
1	1512151	1534687	p36.33	ATAD3A
1	1535174	1540453	p36.33	TMEM240
1	1541673	1574869	p36.33	SSU72
1	1598012	1600096	p36.33	FNDC10
1	1615415	1630610	p36.33	MIB2
1	1632095	1635263	p36.33	MMP23B
1	1635227	1659012	p36.33	CDK11B
1	1659529	1692728	p36.33	SLC35E2B
1	1702730	1724324	p36.33	CDK11A
1	1724838	1745992	p36.33	SLC35E2
1	1751232	1780457	p36.33	NADK
1	1785285	1891117	p36.33	GNB1
1	1914827	1917296	p36.33	CALML6
1	1917590	1919273	p36.33	TMEM52
1	2019298	2030758	p36.33	GABRD
1	2050470	2185395	p36.33	PRKCZ
1	2184461	2212720	p36.33	FAAP20
1	2228695	2310119	p36.33	SKI
1	2321253	2391707	p36.32	MORN1
1	2391775	2405444	p36.32	RER1
1	2403964	2413797	p36.32	PEX10
1	2425980	2505530	p36.32	PLCH2
1	2508533	2526628	p36.32	PANK4
1	2528745	2530245	p36.32	HES5
1	2555639	2565382	p36.32	TNFRSF14
1	2586491	2591469	p36.32	FAM213B
1	2590639	2632990	p36.32	MMEL1
1	2635976	2801717	p36.32	TTC34
1	3021483	3022903	p36.32	ACTRT2
1	3069168	3438621	p36.32	PRDM16
1	3454426	3481113	p36.32	ARHGEF16
1	3489920	3611495	p36.32	MEGF6
1	3625002	3630127	p36.32	TPRG1L
1	3630767	3652761	p36.32	WRAP73
1	3652520	3736201	p36.32	TP73
1	3746460	3771645	p36.32	CCDC27
1	3772788	3775982	p36.32	SMIM1
1	3778558	3796504	p36.32	LRRC47
1	3812081	3857214	p36.32	CEP104
1	3857267	3885429	p36.32	DFFB
1	3889125	3900293	p36.32	C1orf174
1	4654732	4792534	p36.32	AJAP1
1	5862811	5992473	p36.31	NPHP4
1	5991466	6101193	p36.31	KCNAB2
1	6101793	6180123	p36.31	CHD5
1	6181269	6209389	p36.31	RPL22
1	6205475	6221299	p36.31	RNF207
1	6221193	6235972	p36.31	ICMT
1	6244192	6245578	p36.31	HES3
1	6247346	6260975	p36.31	GPR153
1	6264269	6394391	p36.31	ACOT7
1	6412418	6424670	p36.31	HES2
1	6424788	6461370	p36.31	ESPN
1	6461151	6466195	p36.31	TNFRSF25
1	6466092	6520061	p36.31	PLEKHG5
1	6521347	6554535	p36.31	NOL9
1	6555181	6579757	p36.31	TAS1R1
1	6580001	6589280	p36.31	ZBTB48
1	6590724	6614607	p36.31	KLHL21
1	6613685	6624033	p36.31	PHF13
1	6624866	6635586	p36.31	THAP3
1	6634168	6701924	p36.31	DNAJC11
1	6785324	7769706	p36.31	CAMTA1
1	7771269	7781432	p36.23	VAMP3
1	7784320	7845177	p36.23	PER3
1	7843083	7853512	p36.23	UTS2
1	7915894	7943165	p36.23	TNFRSF9
1	7954291	7985505	p36.23	PARK7
1	8004404	8026308	p36.23	ERRFI1
1	8317826	8344167	p36.23	SLC45A1
1	8352397	8817643	p36.23	RERE
1	8861002	8879249	p36.23	ENO1
1	8945867	8975092	p36.23	CA6
1	9003300	9026345	p36.23	SLC2A7
1	9035107	9088478	p36.23	SLC2A5
1	9100305	9129170	p36.22	GPR157
1	9234775	9271337	p36.22	H6PD
1	9292880	9369532	p36.22	SPSB1
1	9539482	9585179	p36.22	SLC25A33
1	9588922	9614873	p36.22	TMEM201
1	9651732	9729114	p36.22	PIK3CD
1	9729026	9824526	p36.22	CLSTN1
1	9848276	9910336	p36.22	CTNNBIP1
1	9922113	9943407	p36.22	LZIC
1	9943428	9985501	p36.22	NMNAT1
1	9997206	10016020	p36.22	RBP7
1	10032832	10181239	p36.22	UBE4B
1	10210805	10381603	p36.22	KIF1B
1	10398592	10420144	p36.22	PGD
1	10430102	10452153	p36.22	CENPS-CORT
1	10430443	10442809	p36.22	CENPS
1	10449719	10451902	p36.22	CORT
1	10456522	10472526	p36.22	DFFA
1	10472288	10630758	p36.22	PEX14
1	10636604	10796650	p36.22	CASZ1
1	10946471	10982037	p36.22	C1orf127
1	11012344	11026420	p36.22	TARDBP
1	11026523	11047233	p36.22	MASP2
1	11054584	11060024	p36.22	SRM
1	11066618	11099881	p36.22	EXOSC10
1	11106535	11262507	p36.22	MTOR
1	11189341	11195981	p36.22	ANGPTL7
1	11273206	11296049	p36.22	UBIAD1
1	11479166	11537584	p36.22	DISP3
1	11637018	11655785	p36.22	FBXO2
1	11654375	11663327	p36.22	FBXO44
1	11664124	11674354	p36.22	FBXO6
1	11674480	11691650	p36.22	MAD2L2
1	11691729	11725857	p36.22	DRAXIN
1	11736084	11754802	p36.22	AGTRAP
1	11785723	11806920	p36.22	MTHFR
1	11806096	11843144	p36.22	CLCN6
1	11845709	11848345	p36.22	NPPA
1	11857464	11858931	p36.22	NPPB
1	11919591	11926428	p36.22	KIAA2013
1	11934205	11975538	p36.22	PLOD1
1	11980181	12013514	p36.22	MFN2
1	12019466	12032045	p36.22	MIIP
1	12063377	12144207	p36.22	TNFRSF8
1	12167003	12209228	p36.22	TNFRSF1B
1	12230067	12512047	p36.22	VPS13D
1	12567910	12617731	p36.21	DHRS3
1	12644547	12667086	p36.21	AADACL4
1	12716115	12728759	p36.21	AADACL3
1	12746215	12763699	p36.21	C1orf158
1	12774841	12777906	p36.21	PRAMEF12
1	12791397	12796628	p36.21	PRAMEF1
1	12824605	12831410	p36.21	PRAMEF11
1	12847408	12848725	p36.21	HNRNPCL1
1	12857086	12861909	p36.21	PRAMEF2
1	12879224	12886201	p36.21	PRAMEF4
1	12892896	12898270	p36.21	PRAMEF10
1	12916610	12920482	p36.21	PRAMEF7
1	12938472	12947580	p36.21	PRAMEF6
1	13049476	13056491	p36.21	PRAMEF27
1	13060869	13062229	p36.21	HNRNPCL3
1	13068677	13077884	p36.21	PRAMEF25
1	13115496	13116854	p36.21	HNRNPCL2
1	13148905	13155961	p36.21	PRAMEF26
1	13164586	13165467	p36.21	HNRNPCL4
1	13172455	13179464	p36.21	PRAMEF9
1	13254212	13263314	p36.21	PRAMEF5
1	13281035	13285174	p36.21	PRAMEF8
1	13315581	13322598	p36.21	PRAMEF15
1	13342034	13347134	p36.21	PRAMEF14
1	13389632	13392629	p36.21	PRAMEF17
1	13410450	13421328	p36.21	PRAMEF20
1	13474977	13514048	p36.21	LRRC38
1	13583465	13617957	p36.21	PDPN
1	13700198	13825079	p36.21	PRDM2
1	13892792	15118043	p36.21	KAZN
1	15152532	15220480	p36.21	TMEM51
1	15409895	15430343	p36.21	EFHD2
1	15438439	15449242	p36.21	CTRC
1	15456728	15472091	p36.21	CELA2A
1	15465909	15491400	p36.21	CELA2B
1	15490832	15526534	p36.21	CASP9
1	15526813	15592379	p36.21	DNAJC16
1	15572353	15585110	p36.21	AGMAT
1	15617500	15669044	p36.21	DDI2
1	15659869	15661722	p36.21	RSC1A1
1	15684332	15734769	p36.21	PLEKHM2
1	15736405	15741396	p36.21	SLC25A34
1	15742422	15747982	p36.21	TMEM82
1	15756607	15786594	p36.21	FBLIM1
1	15807169	15809348	p36.21	UQCRHL
1	15847864	15940460	p36.21	SPEN
1	15941869	15976132	p36.13	ZBTB17
1	16004236	16008807	p36.13	C1orf64
1	16014028	16019594	p36.13	HSPB7
1	16018875	16034050	p36.13	CLCNKA
1	16043736	16057308	p36.13	CLCNKB
1	16057769	16073632	p36.13	FAM131C
1	16124337	16156087	p36.13	EPHA2
1	16197854	16212609	p36.13	ARHGEF19
1	16231700	16237162	p36.13	RSG1
1	16246839	16352454	p36.13	FBXO42
1	16352575	16398145	p36.13	SZRD1
1	16387117	16437424	p36.13	SPATA21
1	16440672	16460078	p36.13	NECAP2
1	16539066	16539575	p36.13	FAM231B
1	16673003	16673512	p36.13	FAM231A
1	16740273	16972979	p36.13	CROCC
1	16974502	16980835	p36.13	MFAP2
1	16985958	17011928	p36.13	ATP13A2
1	17018722	17054170	p36.13	SDHB
1	17066761	17119435	p36.13	PADI2
1	17205126	17246005	p36.13	PADI1
1	17249098	17284233	p36.13	PADI3
1	17308195	17364004	p36.13	PADI4
1	17372196	17401699	p36.13	PADI6
1	17406760	17439724	p36.13	RCC2
1	17539835	17697874	p36.13	ARHGEF10L
1	17755313	17827063	p36.13	ACTL8
1	18107746	18378483	p36.13	IGSF21
1	18480982	18486126	p36.13	KLHDC7A
1	18631006	18748866	p36.13	PAX7
1	18839599	18859682	p36.13	TAS1R2
1	18871430	18902781	p36.13	ALDH4A1
1	18904281	18956686	p36.13	IFFO2
1	19074506	19210276	p36.13	UBR4
1	19215664	19251552	p36.13	EMC1
1	19251539	19260128	p36.13	MRTO4
1	19282558	19289250	p36.13	AKR7A3
1	19303965	19312146	p36.13	AKR7A2
1	19312326	19329300	p36.13	PQLC2
1	19338776	19485539	p36.13	CAPZB
1	19596977	19629821	p36.13	MINOS1
1	19596979	19658056	p36.13	MINOS1-NBL1
1	19640554	19658456	p36.13	NBL1
1	19665287	19679562	p36.13	HTR6
1	19682213	19799945	p36.13	TMCO4
1	19814029	19815278	p36.13	RNF186
1	19882513	19912945	p36.13	OTUD3
1	19920009	19923617	p36.13	PLA2G2E
1	19975431	19980416	p36.13	PLA2G2A
1	20028179	20091190	p36.13	PLA2G5
1	20111939	20119566	p36.12	PLA2G2D
1	20139326	20150386	p36.12	PLA2G2F
1	20186085	20196048	p36.12	UBXN10
1	20482391	20486220	p36.12	CAMK2N1
1	20499448	20508161	p36.12	MUL1
1	20552439	20555010	p36.12	FAM43B
1	20588948	20618908	p36.12	CDA
1	20633455	20651511	p36.12	PINK1
1	20651767	20661544	p36.12	DDOST
1	20664014	20718017	p36.12	KIF17
1	20719732	20732837	p36.12	SH2D5
1	20742661	20787323	p36.12	HP1BP3
1	20806292	21176888	p36.12	EIF4G3
1	21217247	21345504	p36.12	ECE1
1	21440128	21485005	p36.12	NBPF3
1	21509372	21578412	p36.12	ALPL
1	21596215	21669363	p36.12	RAP1GAP
1	21678298	21783606	p36.12	USP48
1	21812265	21825221	p36.12	LDLRAD2
1	21822245	21937297	p36.12	HSPG2
1	21977021	21998642	p36.12	CELA3B
1	22001656	22012539	p36.12	CELA3A
1	22052627	22092946	p36.12	CDC42
1	22117305	22143969	p36.12	WNT4
1	22451851	22531157	p36.12	ZBTB40
1	22563564	22603594	p36.12	EPHA8
1	22636506	22639608	p36.12	C1QA
1	22643630	22648110	p36.12	C1QC
1	22652762	22661538	p36.12	C1QB
1	22710839	22921500	p36.12	EPHB2
1	23010834	23015850	p36.12	TEX46
1	23019448	23083689	p36.12	KDM1A
1	23084023	23177808	p36.12	LUZP1
1	23191895	23194729	p36.12	HTR1D
